ID,Title,Writer,FirstGigSet,FirstGigOrder,SongLink,Duration,Key,Tempo,PracticePriority,Chart,LeadSheet,LeadSheetEditLink,AndyNotes,AndyVocal,FemaleVocal,MarkKeys
,TOTALS,,17,,,81,,,,,,,,,,
3,Hot Pants Road,The J.B.s,X,1,https://open.spotify.com/track/6YYy6cE5nvb7HsD975BR3H?si=e6f42ff01bce43eb,5,Dm,100,P2,,https://docs.google.com/document/d/e/2PACX-1vSzyhA8uuz-7NCt30OyKOkwOuE5rWdJ6GV0BOORkBQqaH4BiebMoBieFQqFF4gQ7EUT_mYpdCBKCmMV/pub,https://docs.google.com/document/d/13Kf4RF8UE6W-rCd0UoKaKqx08hxjUaJ5sM5hGbSF-PY/edit,tenor or flute,,,
4,Chanterelle,The Dip,X,2,https://open.spotify.com/track/6CA7xr4RNP5GTePH7B6k1n?si=ff8edfb65dbc4216,5,F,106,P3,chart,https://docs.google.com/document/d/e/2PACX-1vTBTbRBqzkVd49gqczNVBcYVfr_J0BU8I0Y4aNsaxRL28bOKoCBJpIDWWm23vvJyeOWgraOLH8J_M-D/pub,https://docs.google.com/document/d/1MQbOQ15s66BqSdlWDQLERYaQoEkT8Fe4DUUTOKjeZfM/edit#heading=h.82ulpn5ev5j9,tenor,,,
5,No Way Back,Casual Funk,X,,https://drive.google.com/file/d/1Wdof96XirPG2ejJo838odCnsGlgpKKJp/view?usp=drive_link,4,Fm,93,P1,,https://docs.google.com/document/d/e/2PACX-1vSOWrzeFgG5kn3M-tSrZHo5dKygeFLXYn4dzjjtWO7TZTbK83oPF0X-6hwr8lROi5rdYSUKiaiW2vae/pub,https://docs.google.com/document/d/1eoMdU48TK7Y84QtNB_F_4r34or7c53eiBVzNPJ7PHPY/edit,tenor,yes,,yes
6,Starcastle,The Dip,,,,,,,,,,,,,,
7,It Runs Through Me,Tom Misch,,,,,,,,,,,,yes,,
8,Vacation,The Dip,,,,,,,,,,,,yes,,
9,The Walk,Mayer Hawthorne,,,,,,,,,,,,yes,,
10,Roll with the Punches,Andy,,,,,,,,,,,,,,
11,Stone Town Jam,Andy,,,,,,,,,,,,,,
12,Animal Spirits,Vulfpeck,X,,https://open.spotify.com/track/1SHA4IJyiyNobDOrQzFFXy?si=22f9cb85b4874241,3,C#,96,P1,,https://docs.google.com/document/d/e/2PACX-1vRl5dNDLP40UlHYlMqdhnuRkgOW6f7jzrzYNKw_3YkwVUgm3DufjH2GkiYvOaWC1mVH4V7Iq2oo9UNF/pub,https://docs.google.com/document/d/1TJbtiEGGX6H5suN0MHGKXQJEfIEvCGmmpqnr5ZETVsA/edit#heading=h.rnhonl5njys,,yes,,yes
13,Stop Sign,Andy,,,,,,,,,,,,,,
14,Dream Sequence,Andy,,,,,,,,,,,,,,
15,Who Knows,Andy,,,,,,,,,,,,,,
16,Roppongi,Andy,,,,,,,,,,,,,,
17,Ominous Oysters,Casual Funk,,,,,,,,,,,,,,
18,Dance With You Again,Casual Funk,,,,,,,,chart,,,,yes,,
19,Dreams,Electric Peanut Butter Company,X,,https://open.spotify.com/track/5nRsPqkEPmEJrbA2K1uKzc?si=7d0365fd95d34c17,3,C,76,P1,,https://docs.google.com/document/d/e/2PACX-1vQU9y8unZ-Yrm7FCXVFCMAFgonqIbqiNu8IDaDfXu_P0flGUZkIizX4Jjvnk5GpM8XYwnGQKbI5fXHj/pub,https://docs.google.com/document/d/1yTwacTDIjs1JgMKFgUAz5ViDFLGLS0qpzD2W7hikSd4/edit#heading=h.rnhonl5njys,alto,either,yes,yes
20,You're still the one,Lake Street Dive,X,,https://open.spotify.com/track/5aGlygs4voalgMxBCCSg4l?si=5ef46ae93b0043ba,5,Eb,57,P1,,https://docs.google.com/document/d/e/2PACX-1vQy2bS71DFbJggsyt6IIGCJJi-sx-LB2SN0fMwyznLPNpBki3JeogPr0BFSeWIS3Uf2FfQwyTpl_TFD/pub,https://docs.google.com/document/d/1WlIvLKgMpTZGwBp9mH1JFA7C2iDB-w23Ru98lyupiw8/edit#heading=h.rnhonl5njys,,yes,,Yes
21,Superstition,Stevie,X,,https://open.spotify.com/track/4N0TP4Rmj6QQezWV88ARNJ?si=e2193fe5ae004d79,4,Ebm,,P1,,,,,,,
